cluster 1	cluster 2	cluster 3	cluster 4	cluster 5	cluster 6	cluster 7	cluster 8	cluster 9	cluster 10	cluster 11	cluster 12	cluster 13	cluster 14	cluster 15	cluster 16	cluster 17	cluster 18	cluster 19	cluster 20	cluster 21	cluster 22	cluster 23	cluster 24	cluster 25	cluster 26	cluster 27	cluster 28	cluster 29	cluster 30	cluster 31	cluster 32
embryonic hemopoiesis	0	0	2.16096465984585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
positive regulation of transcription from RNA polymerase II promoter in response to stress	0	0	2.12820119584272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell communication by electrical coupling	0	0	2.03152250214893	0	2.54074680585228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01496988895965	0	4
regulation of hormone metabolic process	0	0	2.03152250214893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
reproductive behavior	0	0	1.98125014882275	0	2.49035875050164	1.66642455930298	0	0	0	0	2.22500352640373	0	0	0	0	0	2.78524064600727	0	0	0	0	0	0	2.19845675782682	0	4	0	3.54468999711373	0	1.96231098486382	0	0
regulation of T cell receptor signaling pathway	0	0	1.95587120734299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
negative regulation of DNA biosynthetic process	0	0	1.92928740051893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xenobiotic metabolic process	0	0	1.9139246342522	1.46248384118191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
regulation of actin filament-based movement	0	0	1.9044317704177	0	3.84148356174928	0	0	0	0	0	0	0	2.66532564956269	0	0	1.99274635344571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
organic cyclic compound catabolic process	0	0	1.85674799287169	0	0	0	0	0	0	0	0	0	2.57257319868621	0	1.78108321927567	4	0	3.82508895845903	0	0	0	0	0	0	0	0	0	0	0	0	0	2.56256712757237
fat cell differentiation	0	0	1.822024456711	0	0	0	0	0	0	0	0	0	0	0	1.82605498343659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
single-organism carbohydrate metabolic process	0	0	1.81224719329845	2.22132231328702	1.64897599228064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
terpenoid metabolic process	0	0	1.79813476404606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
stem cell proliferation	0	0	1.79813476404606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
positive regulation of cytokinesis	0	0	1.79349719885392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.632846245896	0	2.00997413162417	0	0	0	0
response to xenobiotic stimulus	0	0	1.79061616111527	1.88825042428557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.31860787649696	0	0	0	0	0	0	0	0	0	0	0
cellular response to glucose stimulus	0	0	1.78034551787857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
positive regulation of catabolic process	0	0	1.7786812741872	0	0	0	0	0	0	0	0	3.7876473001926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cellular response to vascular endothelial growth factor stimulus	0	0	1.7552399762421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
cellular response to monosaccharide stimulus	0	0	1.75513115524486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cellular response to hexose stimulus	0	0	1.75513115524486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
negative regulation of muscle tissue development	0	0	1.71846846587263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
regulation of carbohydrate catabolic process	0	0	1.7042565379846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
polyol biosynthetic process	0	0	1.7042565379846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cardiac muscle cell proliferation	0	0	1.68624578660801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cellular glucose homeostasis	0	0	1.65370054160831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
positive regulation of macroautophagy	0	0	1.65370054160831	0	0	0	0	0	0	1.95372405046249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
peptidyl-tyrosine phosphorylation	0	0	1.62112901816964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.58891046187493	0	0	0	0
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	0	0	1.60910484554454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cellular response to hypoxia	0	0	1.58001414471517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.82952584457268	0	0	0	0
neuron migration	0	0	1.57207214885223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.81881096459209	0	0	0	0	2.01587980027476	1.82287198706977	0	0	0	0
synapse assembly	0	0	1.56484651916401	0	2.24140957847818	0	0	0	0	0	2.76737172022696	0	0	0	0	0	0	0	0	0	2.12105375557772	0	0	0	0	0	0	2.64381923879805	0	0	0	0
neural crest cell migration	0	0	1.55080172475606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
protein homooligomerization	0	0	0	4	0	0	0	1.9715225447084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.46797008183721	0	0	0	0
regulation of postsynaptic membrane potential	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cellular amino acid metabolic process	0	0	0	4	0	0	0	0	0	0	0	3.99749453533831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
monovalent inorganic cation transport	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.96264611257251	0	0	0	0	0	0	0
potassium ion transmembrane transport	0	0	0	4	0	0	0	0	0	0	0	1.80582047495471	0	0	0	0	0	0	0	0	0	0	0	0	2.68313795154435	0	0	0	0	0	0	0
small molecule catabolic process	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.02914760716427	0	0	0	0	0	0	0	0	0	0	0	0
cardiac conduction	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
heart process	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
pigment biosynthetic process	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6366228710055	0	0	0	0	0	0	0	0	0	0	0	0	0	0
response to amino acid	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
regulation of membrane depolarization	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cofactor metabolic process	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
positive regulation of sprouting angiogenesis	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nucleobase biosynthetic process	0	0	0	3.88433222948796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
neuromuscular process	0	0	0	3.72972183362804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
response to alcohol	0	0	0	3.36741788231159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
disaccharide metabolic process	0	0	0	3.0104894830166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
protoporphyrinogen IX metabolic process	0	0	0	3.0104894830166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
neutral amino acid transport	0	0	0	2.86524286365988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
amine transport	0	0	0	2.70346532538307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
positive regulation of epithelial cell migration	0	0	0	2.65307141000046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cellular response to inorganic substance	0	0	0	2.63676745286871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chemical synaptic transmission, postsynaptic	0	0	0	2.63274948885171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hippocampus development	0	0	0	2.51058071539294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
regulation of catecholamine secretion	0	0	0	2.4912961813253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
amino-acid betaine metabolic process	0	0	0	2.4062040149201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
pyrimidine-containing compound biosynthetic process	0	0	0	2.39498792439954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
odontogenesis of dentin-containing tooth	0	0	0	2.27622296054722	1.69958691104025	0	0	0	2.21546680935825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
catecholamine metabolic process	0	0	0	2.23058753217541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
catechol-containing compound metabolic process	0	0	0	2.23058753217541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
protein secretion	0	0	0	2.08311371770086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.72715994584211	4	0	0	0	0
endothelial cell chemotaxis	0	0	0	2.06195287699472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
activation of protein kinase B activity	0	0	0	1.97464319525578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
steroid biosynthetic process	0	0	0	1.96625259610303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.49432030162058	0	0	0	0	0	0	0	0
response to corticosteroid	0	0	0	1.95678838044103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.69110383263981	0	0	0	0
positive regulation of epithelial cell proliferation	0	0	0	1.95235279284483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1.89694717208962	0	0	0
androgen metabolic process	0	0	0	1.95235279284483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	3.447130402449	0	0	0	0	0	0	0	0
glucan catabolic process	0	0	0	1.95235279284483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cellular polysaccharide catabolic process	0	0	0	1.95235279284483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tricarboxylic acid cycle	0	0	0	1.91061591895254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell migration involved in sprouting angiogenesis	0	0	0	1.77113211610701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
response to hydrogen peroxide	0	0	0	1.75186161993704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.99152633989729	0	0	0
cellular metabolic compound salvage	0	0	0	1.74405299128603	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
positive regulation of heat generation	0	0	0	1.69467033008838	0	0	0	3.12068188284243	0	0	0	0	1.66959569039667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acid secretion	0	0	0	1.69467033008838	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cellular response to alcohol	0	0	0	1.66921057592426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glucan metabolic process	0	0	0	1.66921057592426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cellular response to reactive oxygen species	0	0	0	1.65752081238291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.91033139703138	0	0	0	0	0
response to light intensity	0	0	0	1.64762654378499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
neurotransmitter catabolic process	0	0	0	1.64762654378499	0	0	0	0	0	0	0	0	0	0	0	0	0	3.63331066873962	0	0	0	0	0	0	0	0	0	0	0	0	0	0
energy derivation by oxidation of organic compounds	0	0	0	1.62546818023057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
regulation of cell division	0	0	0	1.61974322817716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.30820299302526	0	0
response to fatty acid	0	0	0	1.6031820142295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.64747013263842	0
circadian behavior	0	0	0	1.54943886156253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.02994265324078	0	0	0	0
carnitine metabolic process	0	0	0	1.54943886156253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
regulation of cholesterol biosynthetic process	0	0	0	1.54943886156253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
response to fibroblast growth factor	0	0	0	1.54450860742564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glycosylceramide metabolic process	0	0	0	1.51045928791032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.74849739654875	0	0	0
positive regulation of steroid biosynthetic process	0	0	0	1.51045928791032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.56717461087558
positive regulation of MAP kinase activity	0	0	0	1.48539573617734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chloride transmembrane transport	0	0	0	1.48005867485093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
CTP biosynthetic process	0	0	0	1.47482593924204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
response to follicle-stimulating hormone	0	0	0	1.47482593924204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00530102663462	0	0	0	0	2.61654384131481	0	0	0	0	0	0	0	0
ectodermal placode formation	0	0	0	1.47482593924204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ectodermal placode morphogenesis	0	0	0	1.47482593924204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phosphatidylinositol-3-phosphate biosynthetic process	0	0	0	1.44995649355294	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
regulation of synaptic transmission, glutamatergic	0	0	0	1.43401773243588	0	0	0	0	0	0	0	0	0	0	1.90453104513708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
positive regulation of protein transport	0	0	0	1.43401773243588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
muscle cell proliferation	0	0	0	1.40606350062091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.65515401261108	0	2.81427310807891	0	4	0	0	0	0	0
action potential	0	0	0	0	4	0	0	0	0	2.85240178935029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
vasoconstriction	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3.37686611505042	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
response to amphetamine	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
behavioral response to cocaine	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
divalent inorganic cation homeostasis	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.61341240441423	4	0	4	0	4
cellular metal ion homeostasis	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
digestive system process	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0
cardiac muscle cell contraction	0	0	0	0	4	0	0	0	0	0	0	1.91051374892985	2.38642217248519	0	0	1.72964228595527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
positive regulation of ERK1 and ERK2 cascade	0	0	0	0	3.90833554341185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
response to metal ion	0	0	0	0	3.80807904339608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.64259725074764	0	2.24781013867754	0	4	0	0
forebrain development	0	0	0	0	3.48114083204434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
negative regulation of blood pressure	0	0	0	0	3.48114083204434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
regulation of cytokinesis	0	0	0	0	3.01343826198085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
primary amino compound metabolic process	0	0	0	0	2.99710326798624	0	0	0	0	2.27678650431806	4	0	0	0	0	0	0	0	0	0	0	0	0	2.64639877519412	0	0	0	0	0	0	0	0
gastric acid secretion	0	0	0	0	2.89808585735192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glucocorticoid biosynthetic process	0	0	0	0	2.8512354963302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glucocorticoid metabolic process	0	0	0	0	2.596035792016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
synapse organization	0	0	0	0	2.49967716067323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.31835789722247	0	0	0	0	0	0	1.941774955258	0	1.5979386915715	0	0
cellular response to monoamine stimulus	0	0	0	0	2.49035875050164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cellular response to catecholamine stimulus	0	0	0	0	2.49035875050164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cytokinesis	0	0	0	0	2.24140957847818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
positive regulation of cell cycle	0	0	0	0	2.07500613099699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
positive regulation of fat cell differentiation	0	0	0	0	2.0148582728065	0	0	2.12221738938449	1.56937776548952	0	1.78241371198325	0	0	0	0	0	0	0	0	0	0	0	0	0	1.87565940335394	0	0	0	0	0	0	0
regulation of calcium ion-dependent exocytosis	0	0	0	0	1.91380763953433	0	0	0	0	0	1.68099637122531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
regulation of phosphoprotein phosphatase activity	0	0	0	0	1.91380763953433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.67032795564729	0	0	0	0	0	0	0	0
neural nucleus development	0	0	0	0	1.88013272425989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
inositol phosphate metabolic process	0	0	0	0	1.85902262537104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cellular response to mechanical stimulus	0	0	0	0	1.81455110138234	0	0	0	0	0	0	0	0	1.76371752499046	0	0	0	0	0	0	0	0	0	0	0	0	1.67445808021267	0	0	0	0	0
positive regulation of growth	0	0	0	0	1.66946593950568	1.77748970181142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
positive regulation of vasoconstriction	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.24656026564866	0	0	0	0	0
regulation of systemic arterial blood pressure by hormone	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
response to peptide	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
endocrine process	0	0	0	0	0	3.70842596840881	0	0	0	0	2.4570202825936	0	0	1.68848372952028	0	0	0	0	0	0	0	0	0	2.47975168336851	0	1.86682019651408	0	2.38311029748114	0	0	0	0
vascular process in circulatory system	0	0	0	0	0	3.17673867048073	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.66996407575087	0	4	0	0	4	0	0
nucleotide-excision repair, DNA gap filling	0	0	0	0	0	3.17673867048073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
regulation of renal system process	0	0	0	0	0	2.95021190170506	0	0	0	0	0	0	0	0	0	0	2.69510249669281	0	0	0	0	0	0	0	3.31589510124745	0	0	0	0	0	0	0
regulation of phospholipase C activity	0	0	0	0	0	2.9318621228662	0	0	0	2.00043837142931	2.05010839477097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
positive regulation of cell growth	0	0	0	0	0	2.035643060891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cellular response to extracellular stimulus	0	0	0	0	0	1.85787100851793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
positive regulation of ion transport	0	0	0	0	0	1.8035343396399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
negative regulation of fibrinolysis	0	0	0	0	0	1.78879884530935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.70215650557889	0	0	0	0	0	0	0	0	0
telencephalon development	0	0	0	0	0	1.78879884530935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
peptidyl-glutamic acid carboxylation	0	0	0	0	0	1.78879884530935	0	0	0	0	0	0	0	0	0	0	1.77003589716609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
protein carboxylation	0	0	0	0	0	1.78879884530935	0	0	0	0	0	0	0	0	0	0	1.77003589716609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
insemination	0	0	0	0	0	1.78879884530935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
maternal behavior	0	0	0	0	0	1.78879884530935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.75042814227187	0	2.45336798466449	0	2.82613389501633	0	0	0	0
negative regulation of astrocyte differentiation	0	0	0	0	0	1.78879884530935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
disruption of cells of other organism involved in symbiotic interaction	0	0	0	0	0	1.78879884530935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.71565683667374	0
killing of cells in other organism involved in symbiotic interaction	0	0	0	0	0	1.78879884530935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.71565683667374	0
parental behavior	0	0	0	0	0	1.78879884530935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.75042814227187	0	2.45336798466449	0	2.82613389501633	0	0	0	0
regulation of glutamate secretion	0	0	0	0	0	1.76655016717704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
positive regulation of fatty acid biosynthetic process	0	0	0	0	0	1.75244302077945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.74849739654875	0	0	0
regulation of transmission of nerve impulse	0	0	0	0	0	1.75244302077945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
response to water	0	0	0	0	0	1.74544684213912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
negative regulation of neurological system process	0	0	0	0	0	1.74544684213912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
carboxylic acid transport	0	0	0	0	0	1.74543162164946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
negative regulation of DNA-dependent DNA replication	0	0	0	0	0	1.73391269231919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
grooming behavior	0	0	0	0	0	1.71282255367345	0	0	0	0	0	0	0	0	0	0	0	1.60698129188617	0	0	0	0	0	0	0	0	0	0	0	0	0	0
regulation of urine volume	0	0	0	0	0	1.71282255367345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.50712129236572	0	0	0	0	0	0	0	0
